Source,Target,Distance_miles
48027023204,48027022101,1.9990434749129056
48027023204,48027022300,3.2594061934087204
48027023204,48027022401,3.8617210407433826
48029110100,48029110300,1.0518145111405324
48029110100,48029110600,1.0521726065435693
48029110100,48029110800,1.0713391680396582
48029110100,48029110700,1.1798129965444977
48029110100,48029111000,1.499687091006897
48029110300,48029140100,0.5615555937187326
48029110300,48029130200,0.8178418287068241
48029110300,48029130300,0.954596150183513
48029110300,48029110100,1.0518145111405324
48029110300,48029140200,1.2520850130340975
48029110600,48029110700,0.7395135595545232
48029110600,48029170101,1.0198486284298316
48029110600,48029110100,1.0521726065435693
48029110600,48029110800,1.2744828340762826
48029110600,48029190100,1.3075517051796615
48029110700,48029190100,0.630950546432196
48029110700,48029110800,0.6958543943676639
48029110700,48029110600,0.7395135595545232
