Food Truck,Source,Target,Distance_miles
1,48215020504,48215021806,7.952445513701681
1,48215020504,48215022001,6.641947486780669
1,48215020504,48215022003,8.282255286789983
1,48215020504,48215023504,10.529477047989014
1,48215020504,48215023600,11.9739793065133
1,48215020504,48215023801,8.731377573883133
1,48215020504,48215023904,9.075371866807501
1,48215020504,48215024000,11.06205667646584
1,48215020726,48215020501,1.8706933791480718
1,48215020726,48215020503,4.77538819049924
1,48215020726,48215020504,3.3738953857014065
1,48215020726,48215021000,3.065830419890009
1,48215020726,48215021302,8.630831990028584
1,48215020726,48215021303,10.488059179727204
1,48215020726,48215021305,7.174217529854065
1,48215020726,48215021404,6.062397070020457
1,48215020726,48215021701,4.5646350901765365
1,48215020726,48215021702,5.710361528946379
1,48215020726,48215021805,7.236946011188906
1,48215020726,48215021806,7.366018724826018
1,48215020726,48215022001,8.140204793254927
1,48215020726,48215022003,9.4769635779757
1,48215020726,48215023504,7.402032708889392
1,48215020726,48215023600,9.799478580834137
1,48215020726,48215023801,7.410418910597098
1,48215020726,48215023904,6.371145086432517
1,48215020726,48215024000,8.416866455229671
1,48215021000,48215020501,2.811403015057001
1,48215021000,48215020503,4.5839009178113415
1,48215021000,48215020504,3.218884027912637
1,48215021000,48215020726,3.065830419890009
1,48215021000,48215021302,5.971917014907658
1,48215021000,48215021303,8.179731647022043
1,48215021000,48215021305,6.58556469077023
1,48215021000,48215021404,3.3442774267547164
1,48215021000,48215021701,2.1850169026356263
1,48215021000,48215021702,3.1287427682022533
1,48215021000,48215021805,4.415078977118899
1,48215021000,48215021806,4.856723963531372
1,48215021000,48215022001,5.1148816559617565
1,48215021000,48215022003,6.411244508388797
1,48215021000,48215023504,8.194525963723597
1,48215021000,48215023600,8.85059066214708
1,48215021000,48215023801,5.513147619715876
1,48215021000,48215023904,6.326839888091645
1,48215021000,48215024000,8.190180410977595
1,48215021302,48215020501,7.294336453132324
1,48215021302,48215020503,6.100781485961727
1,48215021302,48215020504,6.198677371832156
1,48215021302,48215020726,8.630831990028584
1,48215021302,48215021000,5.971917014907658
1,48215021302,48215021303,2.600205496599717
1,48215021302,48215021305,5.8552553581235545
1,48215021302,48215021404,2.6300202632277263
1,48215021302,48215021701,6.59414982384393
1,48215021302,48215021702,6.351093663549649
1,48215021302,48215021805,5.832296971838468
1,48215021302,48215021806,7.078978753673367
1,48215021302,48215022001,2.517742322117068
1,48215021302,48215022003,3.841743065574034
1,48215021302,48215023504,13.76141021772378
1,48215021302,48215023600,12.77399335739165
1,48215021302,48215023801,8.799784490825875
1,48215021302,48215023904,11.546125305255327
1,48215021302,48215024000,13.015729256303594
1,48215021303,48215020501,8.8962873880881
1,48215021303,48215020503,6.933729678137945
1,48215021303,48215020504,7.547397445959611
1,48215021303,48215020726,10.488059179727204
1,48215021303,48215021000,8.179731647022043
1,48215021303,48215021302,2.600205496599717
1,48215021303,48215021305,5.730611213526168
1,48215021303,48215021404,4.918037765510433
1,48215021303,48215021701,9.094794677928391
1,48215021303,48215021702,8.929750982748264
1,48215021303,48215021805,8.422842881267782
1,48215021303,48215021806,9.67284114101729
1,48215021303,48215022001,5.038315841449408
1,48215021303,48215022003,6.062516076955685
1,48215021303,48215023504,16.20396902393451
1,48215021303,48215023600,15.374192479596987
1,48215021303,48215023801,11.399984437877167
1,48215021303,48215023904,14.051044172799132
1,48215021303,48215024000,15.57925626708682
1,48215021305,48215020501,5.305694602024374
1,48215021305,48215020503,2.4008748150441925
1,48215021305,48215020504,3.8449635839317886
1,48215021305,48215020726,7.174217529854065
1,48215021305,48215021000,6.58556469077023
