CensusTract,State,County,POP2010,LALOWI1_20,LILATracts_Vehicle,TractKids,TractSeniors,TractHUNV,TractSNAP
48061013308,Texas,Cameron,3530,2525.54,0,1295,223,60,243
48061013309,Texas,Cameron,3019,2304.65,0,1143,171,53,315
48061014100,Texas,Cameron,11923,8331.15,1,4859,623,201,1086
48061014500,Texas,Cameron,8544,700.99,1,3212,558,294,561
48063950200,Texas,Camp,4825,720.16,1,1476,625,190,394
48067950300,Texas,Cass,1681,364.94,0,423,279,68,144
48067950400,Texas,Cass,5403,532.38,1,1433,1004,207,476
48073950500,Texas,Cherokee,3593,946.8,0,1173,433,122,468
48073950600,Texas,Cherokee,5989,601.65,0,1585,1067,143,351
48073950700,Texas,Cherokee,4235,797.4,1,1221,516,163,404
48073950900,Texas,Cherokee,4332,856.4,0,759,398,50,216
48075950200,Texas,Childress,4940,1401.48,0,1332,914,81,343
48083950300,Texas,Coleman,4871,363.53,1,1184,999,143,277
48085030802,Texas,Collin,5635,1172.59,1,1709,394,136,245
48085030900,Texas,Collin,8862,3057.7,1,2833,1241,497,592
48085031506,Texas,Collin,8587,1892.14,1,2561,722,124,299
48085031804,Texas,Collin,4222,654.59,1,401,930,222,8
48085032013,Texas,Collin,5721,301.98,0,1595,262,84,213
48089750100,Texas,Colorado,4769,508.87,0,1352,689,105,406
48091310401,Texas,Comal,5626,1326.63,0,1511,657,84,305
48091310501,Texas,Comal,3447,248.95,0,901,401,76,127
48091310502,Texas,Comal,4443,1224.09,0,1328,387,105,377
48097000400,Texas,Cooke,1965,294.65,0,519,263,49,111
48097001100,Texas,Cooke,6155,654.34,1,1684,891,191,539
48099010201,Texas,Coryell,7806,2687.29,0,28,76,0,0
48099010501,Texas,Coryell,5245,3223.71,0,2840,4,16,78
48099010502,Texas,Coryell,4296,2705.17,0,2190,6,0,70
48099010504,Texas,Coryell,2671,1840.38,0,1336,6,7,81
48099010601,Texas,Coryell,4353,679.5,1,1157,322,122,191
48101950100,Texas,Cottle,1505,663.27,1,350,358,85,121
48111950300,Texas,Dallam,5248,940.59,0,1577,435,88,267
48113000406,Texas,Dallas,7200,4175.61,1,2070,495,161,353
48113002500,Texas,Dallas,5308,2097.69,1,1638,456,295,521
48113002701,Texas,Dallas,3033,2409.64,1,896,361,467,602
48113003400,Texas,Dallas,1146,479.43,1,206,142,194,202
48113003800,Texas,Dallas,1956,1453.5,1,346,334,204,360
48113003901,Texas,Dallas,1724,1387.33,1,564,187,207,349
48113003902,Texas,Dallas,1860,1328.37,1,462,242,148,252
48113004000,Texas,Dallas,1082,686.3,1,231,143,110,115
48113004900,Texas,Dallas,3849,674.34,1,1100,495,128,381
48113005901,Texas,Dallas,5051,455.06,1,1255,905,125,414
48113005902,Texas,Dallas,4101,435.98,1,921,912,300,374
48113007804,Texas,Dallas,5005,488.58,1,1101,479,192,341
48113008603,Texas,Dallas,1237,664.47,0,444,144,56,156
48113008604,Texas,Dallas,3077,2364.8,1,990,228,458,628
48113008701,Texas,Dallas,4470,3070.19,1,1370,566,538,766
48113008802,Texas,Dallas,5206,647.53,1,1496,750,376,852
48113008900,Texas,Dallas,2713,1987.52,1,753,350,182,518
48113009303,Texas,Dallas,4039,887.5,1,1341,295,120,227
48113009304,Texas,Dallas,5812,2009.12,1,2152,404,554,984
48113009701,Texas,Dallas,4634,623.67,0,1258,487,44,164
48113009900,Texas,Dallas,2537,603.98,0,498,189,95,123
48113010000,Texas,Dallas,11780,2736.07,1,673,398,223,301
48113010500,Texas,Dallas,2798,1877.8,0,963,230,56,224
48113010601,Texas,Dallas,5729,3786.13,0,1918,420,66,302
48113010602,Texas,Dallas,3010,2051.45,0,1193,204,76,265
48113010703,Texas,Dallas,3046,1152.27,0,1014,184,24,196
48113010704,Texas,Dallas,5378,325.87,1,2031,235,185,432
48113010801,Texas,Dallas,9363,1929.57,1,3075,721,264,563
48113010804,Texas,Dallas,4442,800.54,1,1438,519,483,625
48113010903,Texas,Dallas,3213,662.27,0,1005,103,83,268
48113010904,Texas,Dallas,3281,989.78,1,959,77,220,357
48113011105,Texas,Dallas,4140,2417.25,1,1380,285,264,546
48113011200,Texas,Dallas,6288,2074.46,1,2067,712,155,401
48113011300,Texas,Dallas,5088,1236.12,1,1188,1009,157,383
48113011401,Texas,Dallas,4847,3512.74,1,1753,376,323,649
48113011500,Texas,Dallas,3185,2205.93,1,1111,172,187,265
48113011601,Texas,Dallas,4773,581.99,1,1622,347,187,461
48113011602,Texas,Dallas,6221,2172.81,0,2280,304,66,338
48113011702,Texas,Dallas,5366,527.11,0,1867,286,91,333
48113012000,Texas,Dallas,7184,1324.68,1,2355,426,467,662
48113012100,Texas,Dallas,5731,3259.21,1,2036,228,238,484
48113012301,Texas,Dallas,4374,535.75,0,1386,406,154,338
48113013010,Texas,Dallas,4388,1754.04,1,1188,190,276,455
48113013011,Texas,Dallas,4794,2832.3,1,1559,98,399,465
48113013717,Texas,Dallas,2755,327.49,0,883,149,46,148
48113014103,Texas,Dallas,3015,517.47,1,848,36,177,312
48113014116,Texas,Dallas,4542,748.33,1,1186,80,98,259
48113014133,Texas,Dallas,3909,1447.6,1,784,120,187,195
48113014204,Texas,Dallas,2275,649.61,0,441,104,37,130
48113014403,Texas,Dallas,3909,461.32,0,991,74,96,234
48113015000,Texas,Dallas,7996,1039.84,1,2538,577,165,650
48113015100,Texas,Dallas,6509,1552.0,0,1992,547,68,403
48113015303,Texas,Dallas,2092,1318.49,0,725,111,31,96
48113015304,Texas,Dallas,3461,1816.99,0,1029,370,4,232
48113015403,Texas,Dallas,3008,407.96,0,923,236,100,234
48113015404,Texas,Dallas,4462,861.9,0,1714,165,105,387
48113015700,Texas,Dallas,2579,445.27,0,884,162,7,131
48113015800,Texas,Dallas,2430,1456.92,0,824,153,16,105
48113016100,Texas,Dallas,3852,727.23,1,1073,731,216,509
48113016408,Texas,Dallas,7115,449.72,0,2038,658,40,334
48113016511,Texas,Dallas,4259,1905.42,0,1389,238,26,312
48113016520,Texas,Dallas,6953,3092.63,1,2490,282,128,659
48113016605,Texas,Dallas,6941,2203.45,1,2320,956,741,900
48113016611,Texas,Dallas,6133,1052.17,0,1675,619,39,205
48113016621,Texas,Dallas,5403,1579.36,0,1874,221,23,430
48113016626,Texas,Dallas,4658,285.99,0,1509,299,138,279
48113016701,Texas,Dallas,6084,3593.54,1,1682,931,246,426
48113016703,Texas,Dallas,9729,2909.31,1,3301,587,181,754
48113016704,Texas,Dallas,4132,990.09,0,1273,355,20,354
48113016903,Texas,Dallas,5191,2969.64,0,1426,419,69,283
48113017004,Texas,Dallas,8357,2399.72,0,3244,396,126,557
48113017101,Texas,Dallas,5144,1354.5,0,1709,351,92,237
48113017602,Texas,Dallas,4120,2163.32,0,1316,333,41,195
48113017605,Texas,Dallas,3550,534.04,0,1272,130,95,231
48113017703,Texas,Dallas,4661,512.01,1,1616,383,127,440
48113017805,Texas,Dallas,5503,2450.99,0,1542,562,96,303
48113018001,Texas,Dallas,6183,263.76,0,1689,792,63,288
48113018105,Texas,Dallas,6086,1370.61,0,2090,448,29,322
48113018126,Texas,Dallas,6536,217.58,0,1836,785,15,226
48113018130,Texas,Dallas,4152,1578.0,1,1093,386,117,277
48113018141,Texas,Dallas,3830,1644.75,0,828,232,20,363
48113018203,Texas,Dallas,6463,1489.18,0,2182,299,38,255
48113018205,Texas,Dallas,4564,766.95,0,1578,236,27,128
48113019029,Texas,Dallas,5905,513.73,0,1453,662,107,261
48113020100,Texas,Dallas,2318,1198.85,0,652,215,56,78
48113020200,Texas,Dallas,3678,2781.98,1,825,677,142,485
48113020400,Texas,Dallas,5518,1126.35,0,471,104,43,18
48113020500,Texas,Dallas,4820,737.47,1,2178,363,538,929
48115950402,Texas,Dawson,4001,1417.69,0,607,271,10,167
48115950500,Texas,Dawson,3839,576.29,1,1106,625,207,274
48117950500,Texas,Deaf Smith,3981,506.74,0,1323,319,90,273
48121020503,Texas,Denton,5726,803.87,1,1200,513,145,402
48121020601,Texas,Denton,4906,573.08,1,651,369,211,233
48121020602,Texas,Denton,8716,3554.24,0,2442,544,92,334
48121020800,Texas,Denton,5082,820.62,0,550,290,72,241
48121021201,Texas,Denton,5638,390.24,1,1422,204,327,418
48121021202,Texas,Denton,4242,1075.4,0,879,359,85,291
48121021616,Texas,Denton,4441,208.89,1,1112,264,182,213
48133950300,Texas,Eastland,5120,476.79,0,1153,967,89,214
48135000300,Texas,Ector,1680,676.32,0,393,204,28,136
48135000500,Texas,Ector,4474,203.0,1,1430,482,188,374
48139060400,Texas,Ellis,4216,947.69,1,1179,512,195,501
48139060500,Texas,Ellis,3196,988.62,0,1046,318,43,233
48139061500,Texas,Ellis,5338,870.74,0,1595,709,102,554
48139061600,Texas,Ellis,6253,1873.84,0,2070,542,189,509
48141000107,Texas,El Paso,5807,2344.44,0,1754,705,83,490
48141000108,Texas,El Paso,2505,1183.62,0,801,265,72,193
48141000204,Texas,El Paso,5283,318.76,1,1500,728,147,273
48141000206,Texas,El Paso,4787,300.15,0,1361,767,118,332
48141000207,Texas,El Paso,4761,1917.87,0,1606,366,32,486
48141000208,Texas,El Paso,3429,2116.79,0,1110,211,104,260
48141000302,Texas,El Paso,5626,641.58,1,1708,755,129,523
48141000900,Texas,El Paso,7871,474.11,0,2042,1167,284,830
48141001111,Texas,El Paso,4811,1987.48,1,907,368,144,227
48141001115,Texas,El Paso,3445,1061.15,1,1148,213,304,596
48141001400,Texas,El Paso,2232,459.65,1,414,213,178,136
48141001600,Texas,El Paso,4515,1557.28,1,899,606,654,495
48141002500,Texas,El Paso,6084,346.87,1,1373,1155,316,716
48141003402,Texas,El Paso,6496,615.08,1,1299,887,261,613
48141003602,Texas,El Paso,3043,987.17,1,891,471,178,462
48141003702,Texas,El Paso,4738,495.12,1,1338,807,159,593
48141003801,Texas,El Paso,5799,1421.97,1,1455,1184,207,624
48141003803,Texas,El Paso,3250,893.86,0,861,411,26,208
48141003804,Texas,El Paso,3925,1349.42,1,1217,452,118,499
48141003903,Texas,El Paso,6921,1247.09,1,2494,666,450,1186
48141004003,Texas,El Paso,8507,581.1,0,2771,595,61,831
48141004103,Texas,El Paso,6939,1113.51,1,2114,711,308,1022
48141004310,Texas,El Paso,5269,611.23,0,1498,683,41,538
48141010102,Texas,El Paso,4799,508.59,0,1252,6,23,24
48141010203,Texas,El Paso,4732,1690.95,0,912,326,45,363
48141010216,Texas,El Paso,7035,1155.45,0,2371,609,45,507
48141010316,Texas,El Paso,4418,358.07,0,1303,429,76,423
48141010322,Texas,El Paso,4861,1806.83,0,1693,260,26,362
48141010325,Texas,El Paso,8377,543.74,0,3270,325,0,677
48141010333,Texas,El Paso,4772,2616.08,0,1992,147,59,315
48141010339,Texas,El Paso,8264,2858.82,0,1687,332,58,499
48141010345,Texas,El Paso,6959,5043.09,0,2559,356,39,700
