,CensusTract,State,County,LALOWI1_20,GEOID,INTPTLAT,INTPTLON,LAT,LON
75,48029161802,Texas,Bexar,307.609051306182,48029161802,+29.3349868,-098.6579687,29.3349868,-98.6579687
76,48029170101,Texas,Bexar,634.131083786487,48029170101,+29.4396522,-098.5198167,29.4396522,-98.5198167
77,48029170500,Texas,Bexar,1231.15595314589,48029170500,+29.4492455,-098.5273406,29.4492455,-98.5273406
78,48029171302,Texas,Bexar,1635.6335238479,48029171302,+29.4537275,-098.5705465,29.4537275,-98.5705465
79,48029171401,Texas,Bexar,3047.85729153826,48029171401,+29.4413040,-098.5939349,29.441304,-98.5939349
80,48029171402,Texas,Bexar,2674.18371779378,48029171402,+29.4430000,-098.5819942,29.443,-98.5819942
81,48029171501,Texas,Bexar,1751.48860250972,48029171501,+29.4156577,-098.5812898,29.4156577,-98.5812898
82,48029171602,Texas,Bexar,2183.1711233519,48029171602,+29.4229730,-098.6081103,29.422973,-98.6081103
83,48029171802,Texas,Bexar,483.438265800476,48029171802,+29.4055402,-098.6352927,29.4055402,-98.6352927
84,48029171903,Texas,Bexar,953.442374991253,48029171903,+29.4069074,-098.6551074,29.4069074,-98.6551074
85,48029180300,Texas,Bexar,2071.348051214,48029180300,+29.4667590,-098.5575128,29.466759,-98.5575128
86,48029180400,Texas,Bexar,2101.08953689923,48029180400,+29.4626758,-098.5708715,29.4626758,-98.5708715
87,48029180501,Texas,Bexar,963.808252900838,48029180501,+29.4702079,-098.5896328,29.4702079,-98.5896328
88,48029180504,Texas,Bexar,3013.93898254632,48029180504,+29.4521007,-098.5919512,29.4521007,-98.5919512
89,48029180604,Texas,Bexar,861.283230151981,48029180604,+29.4812706,-098.5706326,29.4812706,-98.5706326
90,48029181402,Texas,Bexar,987.80187799083,48029181402,+29.5122455,-098.5803117,29.5122455,-98.5803117
91,48029181504,Texas,Bexar,1944.43506159819,48029181504,+29.5058719,-098.5936735,29.5058719,-98.5936735
92,48029181602,Texas,Bexar,315.273462846875,48029181602,+29.4579251,-098.6140374,29.4579251,-98.6140374
93,48029181725,Texas,Bexar,541.457447025924,48029181725,+29.4601895,-098.6260127,29.4601895,-98.6260127
94,48029181808,Texas,Bexar,286.440957728773,48029181808,+29.5354916,-098.5978441,29.5354916,-98.5978441
95,48029181809,Texas,Bexar,2866.70253349281,48029181809,+29.5503905,-098.6227123,29.5503905,-98.6227123
96,48029181820,Texas,Bexar,5501.63021927699,48029181820,+29.5775882,-098.6161210,29.5775882,-98.616121
97,48029181823,Texas,Bexar,1113.11481002904,48029181823,+29.5769286,-098.6375955,29.5769286,-98.6375955
98,48029181901,Texas,Bexar,1849.87460378918,48029181901,+29.5973723,-098.6092261,29.5973723,-98.6092261
99,48029190100,Texas,Bexar,2038.36193468794,48029190100,+29.4481242,-098.5070960,29.4481242,-98.507096
100,48029190200,Texas,Bexar,1455.36683586298,48029190200,+29.4525383,-098.4898075,29.4525383,-98.4898075
101,48029190503,Texas,Bexar,364.248523920774,48029190503,+29.4596714,-098.5035886,29.4596714,-98.5035886
102,48029190504,Texas,Bexar,534.345601446926,48029190504,+29.4597554,-098.5118770,29.4597554,-98.511877
103,48029192000,Texas,Bexar,1551.5425857827,48029192000,+29.4600082,-098.4694662,29.4600082,-98.4694662
104,48029192200,Texas,Bexar,355.107115716498,48029192200,+29.3478758,-098.4648118,29.3478758,-98.4648118
105,48029980003,Texas,Bexar,224.083953082561,48029980003,+29.3724905,-098.6660170,29.3724905,-98.666017
